eval_axis,EHVI,ParEGO,MESMO,NSGA2,MOEAD,SMSEMOA,RandomSearch
215,11.137490799999796,9.818014066666365,6.5307358333375305,1.0503147733351321,0.011186733337429663,0.4829048033345922,0.0
220,10.128383799960526,10.421851600054651,6.394010333305535,1.0503147733351321,0.009548099944368005,0.4829048033345922,0.0
225,11.595810433345227,11.313117733341642,6.1208504333238425,1.0503147733351321,0.015070566635889312,0.4829048033345922,0.0
230,11.708826833365796,7.97520960002051,7.242650266659136,1.0503147733351321,0.013893133339782556,0.4829048033345922,0.0
235,14.677119600043321,9.819683033313291,7.921538133329402,1.0503147733351321,0.013218600031298896,0.4829048033345922,0.0
240,13.665188466664404,9.326429233381836,6.828280099978049,1.0503147733351321,0.011809899976166586,0.4829048033345922,0.0
245,12.328353966663903,10.387475566666884,6.949837666664583,1.0503147733351321,0.012129066706014177,0.4829048033345922,0.0
250,20.352610766654834,10.34105420000075,6.627745266615723,1.0503147733351321,0.020651699936318362,0.4829048033345922,0.0
255,13.367210666649044,14.808811333379708,6.730719133319023,1.424524542002473,0.015307799990599355,1.2293887959994816,0.0
260,13.013086966626966,9.875206233312687,5.617611333339785,1.424524542002473,0.013466833353353044,1.2293887959994816,0.0
265,13.22027536664003,10.10148713334153,5.791632666679409,1.424524542002473,0.011925499963884553,1.2293887959994816,0.0
270,11.988933266644986,12.633168666662337,6.021075633354485,1.424524542002473,0.011484866690201065,1.2293887959994816,0.0
275,14.101573566634519,10.92155036663947,6.002192766677278,1.424524542002473,0.014695066648224989,1.2293887959994816,0.0
280,12.574962133386483,13.488909866699638,6.177580899985817,1.424524542002473,0.008008299938704036,1.2293887959994816,0.0
285,9.941231899972385,11.295135966618545,4.844153000003037,1.424524542002473,0.01259816666909804,1.2293887959994816,0.0
290,22.834491166635416,13.29855603336667,6.058169833345649,1.424524542002473,0.01183983330458697,1.2293887959994816,0.0
295,14.772442499990575,14.235057766704509,6.495816366630606,1.424524542002473,0.00879306672140956,1.2293887959994816,0.0
