objectives;variables;evaluation_time;algorithm_time
[3.0231446400000026, -2.4999999999960503];[-1.755475311519513, -5.0, -5.0, -0.6617691466370621, -5.0, -0.7493207973633575, 4.645313629449987, -3.718365019422688, -5.0, -5.0];16.929.862.340.004.100;10.244.092.800.014.100
[3.1242274560000087, -2.499999999996365];[1.0771128300775867, -5.0, -5.0, 3.652985011927864, -5.0, 3.83161282245635, -1.1215799225414007, -5.0, -5.0, -5.0];16.968.933.679.995.800;10.244.092.800.014.100
[2.848288752000008, -2.4999999995032773];[3.374888180758596, -5.0, -5.0, -2.088306345521878, -3.910429981873988, -5.0, -2.710932817889492, -5.0, -5.0, -5.0];18.143.968.720.000.700;8.792.483.399.971.380
[2.8931819760000117, -1.9807029];[0.1090689856897118, -5.0, -5.0, -4.63565630173856, 5.0, -5.0, -3.7298009276768433, -5.0, -5.0, -5.0];1.890.892.810.000.220;8.792.483.399.971.380
[3.0178934640000126, 3.397913];[1.219557602671939, -5.0, -4.311748937903401, -1.5016962218789818, -2.9417422431342843, -3.972783661619444, 4.02566610974972, -5.0, -5.0, -5.0];17.343.422.729.999.200;8.792.483.399.971.380
[3.1953467520000056, -2.4999999999965867];[3.939285342945393, -3.9666458954922574, -2.2369392951722955, -3.511128854737687, -4.1366662593176144, 3.10175820923555, -4.390558107017798, -5.0, -5.0, 1.933624473315482];17.449.935.050.000.200;8.792.483.399.971.380
[3.049943112000006, -2.47026655];[-1.8223843639079336, -5.0, 5.0, -0.6187135563720734, -1.6407531089864902, -5.0, -1.9170788913777819, -5.0, -5.0, -5.0];19.034.169.359.999.900;8.792.483.399.971.380
[2.9329430400000107, -2.42515802];[2.0597044235382693, -5.0, -5.0, 4.3174555174757465, -5.0, -5.0, -2.7927781010176567, -5.0, -5.0, -5.0];18.014.422.920.002.800;8.934.745.599.981.390
[2.8943619840000046, -2.499999999995357];[-3.5080346459128675, -5.0, -5.0, 2.3597228537341746, -5.0, -5.0, 2.946554812948526, -5.0, -5.0, -5.0];17.457.476.290.001.000;8.934.745.599.981.390
[2.730325536, -2.40841276];[2.5191030380251886, -5.0, -5.0, -3.315157413955587, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];1.866.887.498.999.710;8.934.745.599.981.390
[2.6508213360000035, -2.4999999996965574];[-3.577363604223958, -5.0, -5.0, -0.8994312877399571, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];1.859.867.227.000.060;8.934.745.599.981.390
[2.7359821440000043, -2.4999999999970215];[-2.9203403954376626, -5.0, -5.0, 2.385645017770889, -5.0, -5.0, -4.999466707047109, -5.0, -5.0, -5.0];17.898.710.440.000.200;8.934.745.599.981.390
[3.252132072000008, -2.4999999999872733];[-4.225555259536449, -1.4864351340755606, -5.0, 3.713815193228532, 0.39204578216795305, 3.5066559858060806, -2.3638199775417394, -5.0, -1.1750287531849537, -5.0];17.066.831.320.000.300;11.230.051.100.021.200
[2.728780272000006, -2.4999999996265725];[-5.0, -4.656643947415151, -5.0, -3.418562227500197, -5.0, -0.2641202330867145, -2.528254515345365, -5.0, -5.0, -5.0];17.381.789.970.002.100;11.230.051.100.021.200
[2.9994963120000135, -1.5754557999999999];[-1.9516535725506023, -5.0, -0.10021395263464683, -3.8121088357430346, -0.8099503061938567, -2.7733950341344484, -2.59927374368387, -5.0, -5.0, -1.287817176444379];17.759.431.270.003.500;11.230.051.100.021.200
[2.618575776000012, -1.478178];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -0.9696406490410201, -5.0, -5.0, -5.0];1.779.091.485.000.090;11.230.051.100.021.200
[3.2903858880000136, -2.2820568];[0.39081024538363174, -5.0, 0.5851208735285081, -5.0, 1.9770250708207264, -4.50419757377775, 0.3558333580149595, -3.170201224395244, -1.9708587160702207, 1.4691424560668587];17.038.221.339.997.800;11.230.051.100.021.200
[2.9102911200000054, -2.4999999999960103];[-5.0, -3.723123743725595, -5.0, 2.2431253028280276, -5.0, -2.9334570412199703, 1.9491406549695345, -5.0, -5.0, -5.0];17.494.676.879.997.100;1.053.141.080.000.200
[3.0746658240000113, -1.02725];[-1.7566617395206041, -5.0, -5.0, 4.539338532654769, -5.0, 2.2539470636038947, -2.433817933921886, -4.580512522038055, -2.8766686959313534, -5.0];17.530.600.270.000.200;1.053.141.080.000.200
[2.696630832000002, -2.4999999999964273];[-5.0, -5.0, -5.0, -1.3025507006707615, -5.0, -3.5857891560613053, -2.467646095897903, -5.0, -5.0, -5.0];18.624.571.930.000.000;1.053.141.080.000.200
[2.570607144000009, -1.219916];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.1904195727839664, -5.0, -5.0, -5.0];1.741.775.832.999.840;1.053.141.080.000.200
[2.911862952000008, -2.17445];[-5.0, -4.440727363201844, -3.0028438880122357, 3.7537800291962924, -5.0, -4.3523569133929865, -3.145727434040559, -5.0, -1.2036685820560256, -5.0];17.326.108.570.001.000;1.053.141.080.000.200
[2.6684382960000113, -2.4999999999832316];[-5.0, -5.0, -5.0, -2.1367902536534125, -5.0, -4.47178706732083, -3.10939477951149, -3.9431946601056485, -5.0, -5.0];18.062.497.480.004.000;10.974.091.699.987.100
[3.3291926640000025, -1.7598935];[0.6029980761399347, 1.5660848450027771, -4.780599170773531, -1.4329309243042854, -4.199021193323852, -0.2458951401064562, -2.7740394071943086, -5.0, 1.8178136545736105, 1.3748904778522082];16.583.273.949.997.900;10.974.091.699.987.100
[2.84512953600001, -2.4999999999987925];[-5.0, -5.0, -5.0, 1.9302628880276531, -5.0, -5.0, 2.588684459776255, -5.0, -5.0, -5.0];1.741.959.756.000.430;10.974.091.699.987.100
[3.0942028080000044, -2.4999999999948974];[3.843537033297274, -1.9792837230624212, -5.0, -3.7792449097017426, -1.252328956540571, 1.2418236714585182, -2.4185027863189754, -5.0, -5.0, -4.6058730548449];17.392.318.380.001.200;10.974.091.699.987.100
[2.679251904000007, -2.2431563];[-5.0, -5.0, -5.0, -3.377670322352063, -5.0, -2.342918880679987, -4.758075497610911, -5.0, -5.0, -2.6818837275794634];1.751.094.207.999.990;10.974.091.699.987.100
[3.537458784000011, -2.4999999999972498];[-4.882960878080283, 1.259308450618315, 3.003101072886034, -0.6747574014601714, -0.12639834319620302, -1.0336902254596962, -0.07614865253444059, -0.7474707739236024, 1.6457249789005148, -1.7954909315801046];16.766.443.550.004.600;11.472.139.800.025.600
[2.546449272000012, -2.4999999999767013];[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.509500031824857, -5.0, -4.799334327933223, -5.0];17.428.651.750.000.400;11.472.139.800.025.600
[2.7131114160000025, -2.490324037];[-5.0, -5.0, -5.0, -1.0887872959701657, -3.8761845311335046, -5.0, -2.830901199641691, -3.7971109926693365, -5.0, -5.0];1.836.569.754.999.940;11.472.139.800.025.600
[2.78088076800001, -2.49999999999839];[-5.0, -3.9594213478241818, -5.0, -1.5296709889917715, -5.0, -3.1863162679505903, -0.041574893036550264, -5.0, -4.738529739570354, -5.0];1.686.472.162.999.560;11.472.139.800.025.600
[2.6975574720000117, -0.2779560000000001];[-5.0, -5.0, -5.0, 2.277338802790343, -5.0, -5.0, -4.5904062047563015, -5.0, -5.0, -5.0];1.942.935.164.999.790;11.472.139.800.025.600
[2.5927315920000056, -1.8030027];[-5.0, -5.0, -5.0, -2.8289434771826247, -5.0, -5.0, -4.337190902634757, -5.0, -5.0, -5.0];20.786.100.720.003.000;10.196.263.299.963.900
[3.1079043360000003, -2.499999999997723];[-1.705705923190707, -1.625783456320388, -5.0, 2.7957047455791066, -5.0, -5.0, 2.509622333660925, -5.0, -4.73044860839502, -0.5589139184273266];173.630.090.199.993;10.196.263.299.963.900
[2.843481240000001, -2.4999999999635043];[-5.0, -5.0, -5.0, 3.89082607960378, -5.0, -0.7498247298893315, -3.6983611333455877, -5.0, -5.0, -5.0];18.682.449.450.000.400;10.196.263.299.963.900
[3.0131801280000037, -2.499999999996828];[-5.0, -1.3321199119978773, -2.432655860117073, 1.2446036459459853, -4.294197545960847, -5.0, 2.800710456807481, -5.0, -3.6872548130303118, -5.0];17.400.385.340.000.500;10.196.263.299.963.900
[2.642082840000004, -2.4999999997753304];[-5.0, -5.0, -5.0, -5.0, -5.0, -4.763902787059559, -0.11744078110557066, -5.0, -5.0, -5.0];17.472.568.989.999.100;10.196.263.299.963.900
[2.7322615440000115, -2.499999999998741];[-5.0, -5.0, -5.0, -4.747438016583587, -5.0, -3.7450608301896593, 2.786078195162954, -5.0, -5.0, -5.0];17.427.879.889.996.200;9.069.957.199.972.120
[3.3830831520000046, -2.499999999998823];[1.655571349732103, 2.382662112791923, -3.4772992115172894, -1.778537948388767, 1.139827416173052, -1.6556749576489294, -4.442574598306318, 1.5414156170284707, -4.53245492444474, -1.4087314810201046];17.348.923.429.998.100;9.069.957.199.972.120
[2.648194560000011, -1.8703325];[-5.0, -5.0, -5.0, -1.6689119152114804, -5.0, -4.425970629503495, -3.5035151084610368, -5.0, -5.0, -5.0];1.864.318.629.000.330;9.069.957.199.972.120
[3.123450072000003, -2.4999999999937472];[-5.0, -5.0, -4.2956912759252655, 3.4860076120934487, -4.394108196344737, 3.8369586222357412, -1.4306449816101132, -5.0, -0.0032344431084609937, -4.7951077385430505];17.453.242.649.999.400;9.069.957.199.972.120
[2.6903394000000054, -2.499999999998306];[-5.0, -5.0, -5.0, -4.40755401017055, -5.0, -2.9353441333180545, -0.3043607896039351, -5.0, -5.0, -5.0];1.743.102.324.999.630;9.069.957.199.972.120
[2.636159256000012, -2.491881984];[-1.4990621042481718, -5.0, -5.0, -4.9140162147420465, -5.0, -5.0, -3.742495054572846, -5.0, -5.0, -5.0];1.751.098.278.000.130;10.534.849.799.994.800
[2.7151623360000126, -2.4779081];[-2.1148405986672802, -3.6391858695815245, -5.0, -5.0, -5.0, -5.0, -0.7439811920633899, -5.0, -5.0, -5.0];17.139.806.769.997.800;10.534.849.799.994.800
[3.2666658480000055, -2.492060202];[0.952003536018986, 0.0002479378470621185, -5.0, 2.1723457636920376, -5.0, -5.0, -1.046022017533251, -3.202592979663338, -1.466843924524937, 1.625404670912273];17.634.133.180.003.800;10.534.849.799.994.800
[3.4825498560000083, -2.499999999995549];[3.6943553844558057, 2.117856285548916, -4.601775206400107, -4.836766018834279, 0.7672970602589793, 3.2083461307823686, -4.251466924378024, -5.0, 0.2328952210671309, 2.6984421674611037];1.665.739.075.000.160;10.534.849.799.994.800
[2.8109010960000043, -2.48715242];[-4.503534403679179, -5.0, -4.739312190746408, 1.9614469323601922, -5.0, -5.0, 0.0038211808352190957, -5.0, -4.788107465697106, -5.0];17.227.446.119.999.500;10.534.849.799.994.800
[2.710874088000012, -2.48684313];[-1.320840035019402, -5.0, -5.0, -5.0, -5.0, -5.0, -0.6351640954967772, -5.0, -4.740563578225527, -5.0];17.357.906.220.003.400;9.486.251.100.024.670
[2.7780554880000032, -2.496279231];[2.1379056628363813, -5.0, -5.0, -2.7857948494137625, -5.0, -5.0, -2.9384517490695248, -5.0, -5.0, -5.0];18.212.632.599.996.800;9.486.251.100.024.670
[3.1376989440000114, -2.4992924972];[-4.777159161952957, -5.0, 1.398635148447795, -3.557658439053178, 5.0, -5.0, -5.0, -5.0, 5.0, -5.0];18.331.868.369.999.500;9.486.251.100.024.670
[3.0416858640000126, -2.4999999999715232];[4.662101822885983, -5.0, -2.8328307835399187, -0.8515810601985763, -5.0, -5.0, 2.6410762401493297, -5.0, -5.0, -5.0];17.921.748.589.997.800;9.486.251.100.024.670
[2.9677527360000013, 0.04199099999999989];[3.054616493294521, -5.0, -5.0, 0.5193744496691259, -5.0, -5.0, 1.6220052764135424, -5.0, -5.0, -5.0];17.393.902.330.001.500;9.486.251.100.024.670
[3.351804624000004, -2.4999999999991327];[-4.814304299732504, -4.756623151763869, -4.9795603122084025, 2.746971237471926, 0.9265010455129596, -1.0524364464428304, 1.635627142388305, -4.8616095957483365, 1.9535553321814287, 1.1780194296714699];16.213.860.300.002.800;1.054.226.210.003.250
[2.7349652160000018, -2.1608319];[-3.055240949353646, -5.0, -5.0, -3.6577720237350198, -5.0, 0.37633341793848984, -4.244547717451751, -5.0, -5.0, -5.0];17.220.151.609.997.200;1.054.226.210.003.250
[3.1394954160000044, -2.4999999999983813];[-3.6691306553169594, -0.4486749193387327, -5.0, 2.615402545494981, -3.788146188119706, -1.7149041273514616, 0.9307987292787896, -5.0, -0.7783293345066369, -5.0];17.139.949.420.001.300;1.054.226.210.003.250
[2.936728008000003, -0.00997899999999996];[-5.0, -5.0, -5.0, 2.240604069097458, -5.0, -0.15098712132736924, 1.6700103124809296, -5.0, -5.0, -5.0];17.041.060.580.004.700;1.054.226.210.003.250
[3.1166549280000067, -2.1427007];[-1.265659894356184, 2.22293137185141, -2.54591203869066, -4.536632099264325, -4.993933519591997, -4.956656141230842, -3.1096620125801158, 3.0268366846909025, -2.8878953641426306, -3.86383923756161];16.974.329.399.998.500;1.054.226.210.003.250
[2.967826608000004, -1.231735];[-0.42187842832595823, -5.0, -1.232477671813239, -5.0, -5.0, -1.433892734737781, -5.0, -4.2947976475293395, 2.5824338239876052, -5.0];17.260.050.409.997.300;9.381.575.800.012.790
[2.763162504000008, -2.499999999998955];[-5.0, -2.9143995331328436, -4.780144527898175, -4.350238061730932, -3.317097547965913, -5.0, -3.569731602286931, -5.0, -1.0906873299469844, -4.25352122730388];17.190.994.159.999.500;9.381.575.800.012.790
[2.8232759520000066, -1.6950203];[-3.7598726392163515, -4.644098819970959, -5.0, -2.3619753125050362, -5.0, -5.0, 3.0628078173971645, -3.789661134890091, -5.0, -5.0];17.464.192.570.000.800;9.381.575.800.012.790
[2.8963548000000006, -2.4999999999979825];[-5.0, -5.0, -5.0, 2.69379400531383, -5.0, -3.6223059816519316, 2.168256026791018, -5.0, -4.349237250756825, -5.0];17.041.765.119.996.800;9.381.575.800.012.790
[3.531616848000005, -2.499999999998383];[-5.0, 0.35200484116311603, -5.0, 1.8329899330210528, 2.6339956053705595, -0.08355633084170133, -5.0, 1.9198789769663023, 4.78490100217433, -0.13943208032770027];1.665.780.363.000.230;9.381.575.800.012.790
[3.291855984000003, -2.2746982];[-5.0, -0.19832654149995488, 1.2698040845732148, -4.55789389442865, -3.2343049801261787, -2.1611024560335146, -0.6683783261917862, -0.9518202879379878, -0.12442852408929195, 0.8271880134619236];1.664.476.893.999.960;11.749.733.200.005.700
[2.6785432080000113, -2.4999999999117097];[-4.911611267469917, -5.0, -5.0, -3.483270028856894, -5.0, -5.0, 0.20150475525881095, -5.0, -5.0, -5.0];17.409.228.629.997.200;11.749.733.200.005.700
[2.7834719040000095, -2.4999999999979265];[-5.0, -5.0, -5.0, -1.7182303728998463, -4.977302270151829, -5.0, 0.19627062030737186, -5.0, -1.8362783029958383, -5.0];1.703.151.715.999.700;11.749.733.200.005.700
[3.816458208000001, -2.33339];[4.187279747069805, 1.9072245987907799, 4.8075620604623825, -1.531281329833881, 3.2221183580391592, 0.8198922081231661, -4.894954024534102, -4.7104409515922, 4.668706579135131, 1.01176522111078];16.955.835.399.997.800;11.749.733.200.005.700
[2.8299782160000064, -2.4999999999995457];[-5.0, -5.0, -5.0, -3.9112457330707047, -5.0, 1.2691980931011404, 1.4595596322876405, -5.0, -5.0, -5.0];17.072.954.749.997.000;11.749.733.200.005.700
[2.889885600000003, -1.9553494];[-0.3637287246563661, -5.0, -5.0, 0.4184530652985954, -5.0, -5.0, -2.224151183613569, -5.0, -5.0, -1.2395644070242424];17.733.832.489.995.900;9.042.638.699.989.760
[3.479477040000012, -2.1169073];[-1.3544162078568647, 1.2597980834581248, -3.6899684962019053, -1.8917910884611189, -1.7338247575203072, 1.4764249163639596, 4.534107399919492, -5.0, -0.12135652133045038, 0.4079188558563809];16.921.454.770.001.500;9.042.638.699.989.760
[3.518869824000001, -2.499999999998047];[2.1474189648925526, 1.4574106921297147, 1.4239907548087132, 1.1297481502764732, 3.1303285724005843, -5.0, -1.980417075095398, 1.5703634145159153, -4.989121514648783, -3.179057552480655];1.722.174.525.000.150;9.042.638.699.989.760
[2.74341751200001, -2.40101777];[-5.0, -5.0, -5.0, 1.6938237862759564, -5.0, -5.0, -1.8837639356277798, -5.0, -5.0, -5.0];18.964.657.409.995.500;9.042.638.699.989.760
[2.7715355280000105, -0.058387999999999884];[-5.0, -5.0, -3.750243941626887, -5.0, -5.0, -2.143263538024391, 1.567385476182932, -4.562064723366332, -5.0, -5.0];17.126.087.980.001.400;9.042.638.699.989.760
[2.9183079600000053, -2.4999999999989084];[-5.0, -5.0, -4.481112819176999, -1.708985536450553, -5.0, -2.2568370799745328, 2.6361647396177856, -1.9991805573504746, -5.0, -4.283164763179574];17.078.801.899.997.000;11.293.862.399.994.300
[2.8733272560000076, -2.499999999997529];[-5.0, -5.0, -5.0, -2.0297160334941045, -5.0, 0.5824657707475289, 1.313130890724537, -5.0, -4.0414645266640905, -5.0];17.123.542.430.001.500;11.293.862.399.994.300
[2.9864993760000127, -2.144713];[-5.0, -4.7976282870662965, 0.5217470164586482, -3.402454731377495, -3.2865481944393937, -5.0, 0.9177980613711734, -5.0, -5.0, 1.1109140489257605];17.833.430.450.002.100;11.293.862.399.994.300
[3.083674968000008, -1.097497];[1.4286109839559948, 1.2273028555552559, -5.0, -3.86291087520892, -5.0, -1.9393624291326246, 0.14983443152870457, -1.4407131357524716, -5.0, -5.0];16.642.219.959.996.800;11.293.862.399.994.300
[2.8018802880000053, -2.499999999998812];[-2.756300420271314, -5.0, -3.5956010033315002, -2.8820323304552433, -5.0, 1.4224411320342831, -4.671851906991465, -5.0, -5.0, -5.0];17.313.019.799.999.800;11.293.862.399.994.300
[3.102096960000009, -2.4999999999965135];[-5.0, -3.3974278505802697, -5.0, 0.3628369807143006, -2.6550388956195485, -1.4295463875707766, 5.0, -1.4652103761279407, -5.0, -5.0];17.536.800.680.001.000;9.482.148.399.983.990
[2.7253110960000075, -2.4999999999529434];[1.042779278825078, -5.0, -5.0, -5.0, -5.0, -2.324733902183139, -4.746221923876103, -5.0, -5.0, -5.0];1.762.765.791.999.990;9.482.148.399.983.990
[2.891378376000009, -1.8185281];[-2.124190949917615, -3.1555927737658673, -4.473131316525218, -4.941167521495328, -5.0, 0.13445271162908146, -0.8031603066892998, -5.0, -3.371713227919586, -4.605378562913751];17.178.436.600.003.600;9.482.148.399.983.990
[2.765395944000007, 1.8660899999999998];[-3.6387560620222286, -5.0, -5.0, -2.3241278493514916, -5.0, -4.496132697546871, -2.973477966154578, -5.0, -0.7399260224547639, -5.0];17.021.237.969.998.000;9.482.148.399.983.990
[3.4912773360000067, -2.48132476];[-0.2774430957428846, -5.0, -0.42592437757522905, 3.097178538135841, 0.7448341482258245, -2.115397806812962, 1.9516254869696557, -2.651628238600775, 2.437666110798445, -3.3276886082052943];17.098.440.170.002.800;9.482.148.399.983.990
[2.9065657680000108, -2.045789];[-5.0, -5.0, -5.0, -2.464265078613681, -5.0, 3.251662320523886, 1.575841624345018, -5.0, -5.0, -5.0];1.687.920.826.000.040;10.682.452.899.985.900
[2.7717143760000034, -1.5828965];[-5.0, -5.0, -3.7664640787945673, 0.17712467393918807, -5.0, -4.6314674412447445, -1.5930988754036197, -4.065987291263681, -5.0, -5.0];1.844.631.212.000.380;10.682.452.899.985.900
[3.671307072000002, -2.499999999997922];[-1.8355442749367907, -0.8982355091715402, 0.1668140939837306, 4.1885130864161315, 2.92035455568704, 4.996236493319616, -1.9869183880587848, -2.9815358964858842, -2.5749053851911574, 0.7731453370129726];16.474.901.379.999.900;10.682.452.899.985.900
[2.8369751040000084, -2.499999999878515];[-3.4630811912050325, -5.0, -5.0, -4.766909059584786, -5.0, -4.1572543417274215, -2.525390029926925, -5.0, 4.0540644330130835, -5.0];17.387.712.949.997.500;10.682.452.899.985.900
[2.940913440000012, -2.492745209];[-5.0, 0.15544621638676848, -1.6571989684728603, -5.0, -5.0, -5.0, 0.8900321483148153, -5.0, -2.5589296435122217, -2.8759501503880656];1.739.036.076.000.190;10.682.452.899.985.900
[3.481987176000012, -2.499999999998359];[-0.5211057973829307, 2.335325530812275, -1.151999882914367, -4.738347321395318, 1.7397627629914751, 2.072512470771663, -2.431754020267982, -0.5760777062159921, -3.4799548760959325, 0.7547599231682653];1.657.849.494.999.970;1.108.598.469.995.190
[2.83568191200001, -2.1236507];[-5.0, -5.0, -5.0, -0.7865563071385635, -5.0, -4.42162368477897, -5.0, -5.0, 4.2897419684043285, -5.0];1.711.678.750.999.850;1.108.598.469.995.190
[2.78278761600001, 0.4163999999999999];[-5.0, -5.0, -5.0, -2.106325176039988, -5.0, -0.4239604560485972, -2.4413262687338104, -5.0, -3.3956283475411175, -5.0];17.021.886.859.997.100;1.108.598.469.995.190
[3.769856424000004, -2.499999999999131];[2.31052739199958, -1.2011236986011316, 1.1205594701342374, -0.03329364047887218, -0.0646350531172235, 1.3968401297517303, 3.9753634511834584, 0.5981504068072887, -0.3499086814256174, -0.4220963199805885];16.069.649.609.999.000;1.108.598.469.995.190
[3.327419952000005, -2.4999999999964233];[1.1488580356025837, -5.0, -1.565658756359063, 1.1228021077006929, -2.3277530262378674, -4.686352887183245, 2.393451519357029, -0.027616716333292324, -0.639142870379775, -3.5713654163639417];1.687.541.880.000.490;1.108.598.469.995.190
[3.4095142080000085, -2.499999999998698];[-4.492616076419311, -3.0300245901378586, -4.261706376289349, 4.261041491620054, -2.609871329402699, -0.7320281975280221, -1.7065113423872065, -1.6068668075086108, 3.4129556980692204, 1.4135192163759456];16.411.195.029.999.300;1.151.723.250.001.660
[2.83932604800001, -2.47517484];[-3.4524324001824986, -0.8079395389250106, -4.666636290978614, -4.878308367477517, -5.0, -1.990399379202168, -3.6731526266816683, -3.036339666301854, -3.244505355025512, -5.0];16.778.538.090.002.200;1.151.723.250.001.660
[2.85379394400001, -2.499999999998922];[-5.0, -5.0, -5.0, -4.177159246041131, -5.0, 2.888486379004397, 1.208772244688344, -5.0, -5.0, -5.0];16.849.966.099.997.900;1.151.723.250.001.660
[3.0974898960000052, -2.4999999999995883];[-3.6896805428047434, -5.0, -2.20150457367237, 1.8908108530621357, -2.152055298641205, -2.5875165231726625, -0.2403266660327299, -0.7953142468979664, -4.022102928802281, -5.0];17.265.808.870.003.000;1.151.723.250.001.660
[3.1591134000000105, -2.499999999998528];[-5.0, -3.630112011928418, -0.028108052949446183, 0.8431760935927626, -5.0, 0.6795954319858275, 2.251903653046906, -5.0, -1.6401540308952782, -4.421033304347622];17.051.863.460.004.000;1.151.723.250.001.660
[2.9376162000000066, -2.4999999999072484];[3.560295505175324, -5.0, -5.0, -1.5386595886601544, -5.0, -2.028575291502004, -3.4170140115435843, -5.0, -2.775318369532867, -5.0];17.491.867.149.999.500;11.361.744.599.998.900
[3.109033152000007, -2.4999999999962537];[1.3921066014111112, -5.0, -5.0, 1.8545132622639002, -5.0, -1.9220505010079307, -0.4285308790096938, -5.0, 0.8406758482427845, -5.0];1.769.328.498.999.820;11.361.744.599.998.900
[2.7943129440000103, -1.362498];[-2.511002205902266, -5.0, -5.0, -5.0, -5.0, 3.9268384237189196, -5.0, -4.416713270537121, -5.0, -4.832783528089241];1.737.001.358.999.980;11.361.744.599.998.900
[3.560444856000003, -2.4999999999935656];[-0.2332374820718366, -4.996893112971366, -0.725953183033389, 2.6467559754358927, 1.4382783193001423, 3.4132421001852205, -2.740514663958095, -4.717031152975488, 2.9429842097199153, 0.6077580849154085];17.198.623.410.001.100;11.361.744.599.998.900
[3.5947108800000045, -2.491427665];[-1.1806280817837305, -0.24541205726556026, -1.4148995373399238, 4.593957643956003, -1.3483018428088918, 3.114998927339851, -4.43139110691849, 3.538304474205191, -1.695317551493721, -1.7095001693814362];1.706.382.614.999.890;11.361.744.599.998.900
[2.9155859280000085, -2.4999999999966733];[-0.4071073778057368, -5.0, -5.0, -0.7311702373709865, -5.0, 0.7449031552563126, -2.953445344659284, -4.49858173393021, -4.373767725687561, -5.0];17.015.731.119.998.900;11.114.607.499.970.500
[3.141718488000003, -2.1607301];[-4.070681597720391, -4.64428378548237, -4.579153992870985, 2.7528894312574215, -5.0, 5.0, -1.1733435550335152, -5.0, -0.03548625388952065, -5.0];16.881.475.510.000.000;11.114.607.499.970.500
[2.927771352000008, -2.499999999999302];[-2.917655796953888, -5.0, -5.0, 5.0, -5.0, 1.0139071331047322, -5.0, -5.0, -4.751273850597789, -5.0];17.490.086.880.000.300;11.114.607.499.970.500
[3.0677607360000136, -2.499999999997384];[0.2981386926539944, -5.0, -5.0, -5.0, -5.0, 0.914823264352119, 2.352960397984062, -3.092471877099996, -0.6474944760854964, -5.0];16.598.818.540.002.600;11.114.607.499.970.500
[3.0591963360000056, -2.4999999999977405];[-0.17342781406425622, -5.0, -4.902199256383693, 3.570929296684259, -5.0, -4.768692397620107, -0.004714213771036313, -5.0, 0.7075553287870999, -5.0];17.501.980.300.003.100;11.114.607.499.970.500
[3.526667856000004, -2.4999999999608353];[-3.9269923402499334, 1.2518295460637807, -2.002787150912924, 4.588489271652948, -5.0, 2.3797911727600702, -2.271114049986942, -1.3116186963861223, 0.3801383575592956, 1.9839009014347653];16.872.415.230.004.100;12.973.137.599.998.100
[2.7792769680000107, -2.4999999999818696];[-3.661211906568024, -5.0, -4.302847855514949, -1.7147829098906198, -5.0, -5.0, 0.27798877159815216, -5.0, -4.128934818023436, -5.0];17.460.469.870.001.500;12.973.137.599.998.100
[2.978275176000009, -2.499999999994945];[-4.094679069412857, -5.0, -4.969212893934819, 3.5487570902444414, -3.9371762400487027, -1.0252616095373197, -1.0738177827008313, -3.0698760181865263, -4.695616402212747, -5.0];17.495.533.750.002.500;12.973.137.599.998.100
[3.0724008480000062, -1.385898];[-5.0, -5.0, -3.6533032617530585, 3.5594084526866148, -5.0, 2.1366004303508888, -2.4112218890713666, -5.0, 0.40929484586469833, -5.0];17.694.823.799.998.200;12.973.137.599.998.100
[2.7200275200000013, -2.499999999996152];[-4.329865844258688, -5.0, -5.0, -4.373876230708437, -5.0, -5.0, -0.15662928473999926, -5.0, -2.4124275792258003, -5.0];17.587.025.799.998.000;12.973.137.599.998.100
[3.385782288000003, -2.4999999999825646];[2.8743548948709217, 1.9068841804724865, -3.589300442732948, -3.142631723334781, -2.908212782983602, -4.035526835651895, 0.46353934898336924, 2.7256561208914807, -1.2363507572685304, -3.509214011630469];17.068.310.480.000.200;10.078.092.699.986.800
[2.7763769520000037, -2.4999999995743245];[-5.0, -5.0, -5.0, -0.006185821556391247, -5.0, -5.0, -0.4394307250762175, -5.0, -3.2184006822589692, -5.0];17.327.879.890.002.000;10.078.092.699.986.800
[2.9025000000000025, -2.0660602];[-2.641199048982657, -5.0, -5.0, -2.8179850375361633, -4.122808594143241, -4.861526125143839, 0.38378608959527494, -2.5666021494944564, -1.1986745415868985, -5.0];1.772.508.129.000.190;10.078.092.699.986.800
[2.7991694880000058, -2.4999999999243157];[-5.0, -4.155444662292453, -4.959050168224088, -1.4976638034877081, -4.227796269095557, -5.0, -0.17049413332036156, -5.0, -2.5983694861680333, -5.0];17.357.889.770.000.400;10.078.092.699.986.800
[3.2628381120000105, -2.499999999999108];[0.7919672033245142, -5.0, 0.7833711314922116, 1.1724308188143562, -2.299958207250042, -1.7164397063104433, 3.2841864604022373, -5.0, -3.1582475103591543, -5.0];174.254.263.299.983;10.078.092.699.986.800
[3.8199738240000114, -2.499999999996537];[-0.08156948120458818, 3.195590128775459, 2.2767058095975585, 2.915040333875214, -0.1908674978526239, 3.260867758708443, -2.9951013593722657, -3.5165605714863513, 4.064215555130589, 0.7223285015600798];1.692.741.050.000.180;9.918.648.899.998.510
