eval_axis,ParEGO,NSGA2,SMSEMOA,EGBO
1240,0.08188944256756758,0.0045952279279279406,0.0043861018468468555,0.04110911184684685
1245,0.08188944256756758,0.004702483468468483,0.004549808783783789,0.04110911184684685
1250,0.08188944256756758,0.004878331576576592,0.004704941936936944,0.04234163054054055
1255,0.08188944256756758,0.004901601036036052,0.004902554459459467,0.042451962567567586
1260,0.08246415990990992,0.004922176576576592,0.0051835627027027095,0.043304834144144155
1265,0.08246415990990992,0.0051886309009009125,0.005245275855855863,0.043304834144144155
1270,0.08246415990990992,0.0051886309009009125,0.005460665270270278,0.04345663315315316
1275,0.08246415990990992,0.0051956293243243315,0.005460665270270278,0.04346011554054055
1280,0.08246415990990992,0.0054919143693693785,0.005462410810810819,0.04346011554054055
1285,0.08246415990990992,0.0054919143693693785,0.005462410810810819,0.04346011554054055
1290,0.08246415990990992,0.005707132702702711,0.005462410810810819,0.04346011554054055
1295,0.08246415990990992,0.005707132702702711,0.005628757432432441,0.04346011554054055
1300,0.08246415990990992,0.005709449369369377,0.005710580000000006,0.04346011554054055
1305,0.08246415990990992,0.0058085177927928,0.00571328360360361,0.04346011554054055
1310,0.08246415990990992,0.006026431081081093,0.0057491801801801854,0.04346011554054055
1315,0.08246415990990992,0.006044172522522536,0.0057491801801801854,0.04346011554054055
1320,0.08246415990990992,0.006115188288288301,0.005829429594594601,0.04346011554054055
1325,0.08246415990990992,0.0061410242342342485,0.005829429594594601,0.04346011554054055
1330,0.08246415990990992,0.006141628243243258,0.0059182585135135165,0.04346011554054055
1335,0.08246415990990992,0.006141628243243258,0.005921249774774776,0.04503368693693694
1340,0.08246415990990992,0.006148831171171184,0.006116108963963966,0.04503368693693694
1345,0.08246415990990992,0.006157878918918932,0.006116108963963966,0.04503368693693694
1350,0.08246415990990992,0.0063179587837838,0.006116108963963966,0.04503368693693694
1355,0.08246415990990992,0.0063179587837838,0.006516638513513517,0.04503368693693694
1360,0.08246415990990992,0.006323435135135151,0.0065471254954955,0.04750674810810814
1365,0.08246415990990992,0.006364635540540554,0.006619154099099105,0.04750674810810814
1370,0.08246415990990992,0.006364635540540554,0.006810714054054059,0.04750674810810814
1375,0.08246415990990992,0.006425924909909921,0.006861331711711716,0.04750674810810814
1380,0.08385960310810812,0.006551970765765777,0.0069028790990991054,0.04750674810810814
1385,0.08385960310810812,0.006558943693693705,0.0069028790990991054,0.04808286486486487
1390,0.08385960310810812,0.006670302657657671,0.0069028790990991054,0.05000407351351352
1395,0.08385960310810812,0.006738907927927941,0.0069028790990991054,0.05007041657657659
1400,0.08385960310810812,0.006738907927927941,0.00691058531531532,0.05007041657657659
1405,0.08385960310810812,0.006778036711711725,0.00691058531531532,0.05007041657657659
1410,0.08385960310810812,0.006828571171171183,0.006927708198198202,0.05007041657657659
1415,0.08385960310810812,0.006828571171171183,0.006927708198198202,0.05007041657657659
1420,0.08385960310810812,0.007036853873873885,0.006930247882882888,0.05007041657657659
1425,0.08420926054054055,0.007040124954954965,0.006930247882882888,0.05007041657657659
1430,0.08420926054054055,0.0070529098198198305,0.007016423873873881,0.05007041657657659
1435,0.08420926054054055,0.007053862657657668,0.007016423873873881,0.05007041657657659
1440,0.08420926054054055,0.007265296936936948,0.007016423873873881,0.052843983738738776
1445,0.08420926054054055,0.007267386981981993,0.007076325090090099,0.052843983738738776
1450,0.08420926054054055,0.007267386981981993,0.007140699594594609,0.05350453418918923
