objectives;is_feasible;variables;evaluation_time
[3.631034304000011, -2.4999999999994476];True;[-2.0454023586048677, -1.6934539310273156, 1.4246440871423873, 1.9950902264424561, -4.379130719119237, 1.1056683886561895, 2.5038676032896037, 4.720867878777282, -0.9685231089688031, -1.7602026392757542];149.1921277999645
[3.4675140960000044, -2.499999999996126];True;[-2.036258862260467, 4.23705721470742, 2.6823269258153655, 0.1891913457695127, 3.4629580006702714, -4.127135262979289, 0.8294112839128669, -3.051373206060839, -4.524799579857481, -4.328339852592901];158.0509982999647
[4.081026456000004, -2.4999999999992806];True;[3.857668564396585, 3.054606519634131, 0.8157395090053168, 3.5188668344068095, 1.6603609846140959, -4.153008971329648, 4.961923668836407, -0.02346887978472445, 3.9985774057393506, 4.045161499880326];152.79566200007685
[4.040604216000013, -1.6647332000000001];True;[3.143634092601685, 4.180914163608749, 3.3264954559165734, 2.030345874673406, 2.039330803259098, 4.595195126024727, 2.800656474023188, -3.694640557762947, 0.6294085400590159, 0.8136941688646369];152.47665710002184
[3.4156842480000114, -2.0646413];True;[-0.5253404593129138, -0.6041533937709866, -2.6425126533049434, -4.636385863405471, -4.571034360786731, 1.8626324699323202, 4.924070201134258, -2.629913504578796, 2.860290283262719, -3.104086978993016];159.29892030009069
[3.6155226960000038, -2.0383358];True;[0.9917545961613063, -4.346199920949934, 4.861244951586093, 0.41944214644823674, -4.321090465891712, 3.789327946620096, -0.5767493952649092, -4.040311616891202, 0.6993023990034537, 2.7085707674244306];163.62318820005748
[3.438553464000002, -2.499999999993614];True;[-4.15344790327717, 3.5815975030214684, 4.848614402539514, -1.3315968962653892, -0.9922202151098336, -0.20812748162808514, -3.975244510251411, -0.7786753164002658, -1.7362591408483805, -3.262364414824778];168.65543550008442
[3.485404296000014, -2.498143898];True;[4.352676671405423, -4.483138957574459, -2.95102751147276, 1.6386840978593753, -1.903689241588984, -2.3359049963145284, 2.526529528333316, -2.4538324729665906, -1.0962970440430144, 0.8673055394159812];162.49876240000594
[3.8530578960000033, -2.499999999999222];True;[2.147055873189842, 2.9306466846087984, -1.0887894347102756, 3.519276950692383, -2.63241735512492, -4.4089306734585225, 0.9069982983953997, 2.9229242889951603, 3.823909920619661, 3.06163084404138];164.73364839993883
[3.8144526480000107, -2.49999999957522];True;[3.722549293719025, 4.181098529588391, 4.800803097440468, -0.1076654577486309, -3.3174762371540654, -4.079734206107844, 1.2362582781145104, 0.6267169530057659, 4.497886700701649, -2.1653981900123798];170.82235779997427
[3.657327552000003, -2.4999999999992633];True;[0.75152440392697, -0.49801086768024216, -3.3420966315502754, 2.3064496628582116, 2.2763279808072703, -0.8205256639156087, 1.7010668790120125, 2.2980072727240497, -2.183631891364941, -0.3683734194849331];169.30713319999631
[3.6155453760000067, -2.40859231];True;[2.516433978053506, 3.0287547844331417, -1.8096179688373382, -0.08305616035409447, -2.7149807324828332, 2.602937407571206, -2.0475076053801167, -2.1901047586064037, -2.1784236671860024, 3.061930007204632];167.19523529999424
[3.6711487440000132, -2.2164064];True;[0.5719724441513439, -0.7893298100737383, 1.2895568798823813, 0.8914466286576008, 4.972462565651867, 3.0750639217534292, 0.5945820423478532, -1.070523403481758, -3.753913179244408, -3.0207133579360335];175.17711739998776
[3.663423720000003, -2.499999999990149];True;[-1.6263663667708252, 3.3089427128428817, -1.2993213051514099, 3.194026644913224, 0.15234256416956526, 3.863978608752758, -4.613360440060715, 3.552509607862339, -4.139090391217818, 0.009257750503044448];173.5289858999895
[3.6200100960000063, -2.491647977];True;[-4.9772836061346695, -2.019904883801862, 4.474550177909531, -2.423167138866482, 2.9292595548277154, 1.0127128950897273, 4.907412027579898, -3.844019567223893, -4.021080850911096, 4.354585490362414];164.99985950009432
[3.590433432000009, -2.2749533];True;[-2.154752183745985, -2.407229510479856, 2.5961381446574165, 0.6365722137080878, -3.373115707944081, -1.1650285284387332, 4.8044172940798155, -3.2430612416423132, 2.368839395979988, 0.9609991798557065];167.91416849999223
[3.7686913200000034, -2.499999999999315];True;[-3.3312399060141615, -0.24573585021779287, 3.4941034672545044, 3.774386532289034, -4.2712724414426875, -2.2486444574496325, 4.990496861891362, 1.3684124922796315, 0.8011703456128725, 2.9447693754722177];163.3669113999931
[3.6216977040000042, -2.4999999999977467];True;[-1.859169469836781, -3.267820152977344, -0.7097605557323297, 4.752811208589341, -4.6367625670169375, 1.15263319067655, -0.9415879772254501, 0.8853034769488177, 4.200709683103062, 0.8948546601404868];161.94173179997597
[3.702826440000001, -2.1333566];True;[4.4068219286818255, 1.9451897879103761, -2.3992007214135667, -2.1545765761016233, 2.3919942752620624, -0.6230003270890911, 2.8204304580025763, -2.8199804411913854, 0.7160364677383635, -0.056571313917643806];167.94030420004856
[3.47613465600001, -2.4999999999962808];True;[-1.630852963500061, 3.4083118692814747, 3.586375342229177, -1.9910369990342005, -0.4734689197494042, -4.043262113076023, -1.7986107295449951, -0.7519330102158968, -0.09982494612267168, -2.473511195891349];167.97390859993175
[3.347469504, -0.7123120000000001];True;[-2.1354258449366936, -1.7350492050371367, 1.1496370160356442, -3.1533755159098775, 3.788574220007563, -3.5923775611672704, -4.308178227757686, 1.132244589451573, -2.368748353262328, -1.0018669429331606];172.19209709996358
[3.302647344000001, -2.492142274];True;[-1.6536604365209429, 1.0381389685118894, -2.9896553767544, -3.147229989434793, -2.6188190421755877, -4.277246614474923, -1.9308236072403275, -1.8390895253295882, -0.27006768155163385, 3.3887678572945283];167.32045849994756
[3.899622096000005, -2.4999999999203517];True;[1.9482744246859358, 1.9833753607629712, 0.8917870260704621, -0.9296959388366401, -0.6429491049703264, 3.8007138791012363, -0.854758772192314, -0.44291441097582673, 3.5468141545797636, 4.037410698226456];164.56610729999375
