objectives;is_feasible;variables;evaluation_time;algorithm_time
[2.564008128000006, -2.46280395];True;[-5.0, -5.0, -4.499066948519322, -5.0, -5.0, -4.498606453192094, -5.0, -5.0, -5.0, -4.498219907308097];170.25889030005783;7.706103199976496
[2.657844576000004, 0.05256499999999997];True;[-5.0, -5.0, -5.0, -5.0, -4.36089923492802, -4.77273933042535, -4.519424214549891, -4.316092911459113, -5.0, -1.1825034918988493];165.95370890002232;12.004239000030793
[2.5890809760000106, -1.6759401999999999];True;[-5.0, -5.0, -5.0, -4.588791109486344, -3.2591382919597165, -5.0, -4.487212501586918, -5.0, -5.0, -5.0];193.90654350002296;12.004239000030793
[2.5638223680000127, -2.491670898];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -3.5045370604496924, -5.0, -5.0, -5.0, -5.0];165.644292699988;12.004239000030793
[2.676055104000014, -1.6998769];True;[-5.0, -4.991912833433277, -4.986989710910183, -1.5248852607716428, -4.993536713092902, -4.742532672375793, -5.0, -4.87828607805128, -5.0, -2.1904463681784603];169.69407169998158;12.004239000030793
[2.657293344, -2.46787387];True;[-5.0, -5.0, -3.550697870532811, -5.0, -5.0, -4.865176965245033, -3.312396493537255, -5.0, -5.0, -2.4488904785814807];166.67078799998853;12.004239000030793
[2.809468800000006, 0.4033129999999998];True;[-5.0, -5.0, -5.0, 2.2498608178700295, -5.0, -5.0, -5.0, -5.0, 0.49862704907845945, -4.880498886494844];170.39427420007996;13.260749200009741
[2.671094016000006, -1.7206808];True;[-3.6419199359857153, -5.0, -4.998358694426578, -2.850642495698818, -5.0, -2.2368029290880114, -5.0, -4.810521012103177, -5.0, -5.0];170.7200726000592;13.260749200009741
[2.610300600000004, -2.3815194];True;[-5.0, -5.0, -5.0, -3.2900732318207453, -5.0, -5.0, -3.062699031374814, -5.0, -5.0, -5.0];178.57885219994932;13.260749200009741
[2.7110892240000126, -2.4999999999982916];True;[-4.278516735685333, -5.0, -4.0390116903241235, -1.5010942233846212, -2.8117289228278395, -4.056260383339782, -5.0, -5.0, -5.0, -5.0];177.23025859997142;13.260749200009741
[2.614672008000002, -2.48978649];True;[-5.0, -5.0, -4.999999846727513, -1.4856092745119929, -5.0, -5.0, -4.9884076742958, -5.0, -4.676354385156249, -5.0];177.5691419999348;13.260749200009741
[2.657282760000004, -2.4999999999962617];True;[-5.0, -5.0, -5.0, -3.3816543831836725, -5.0, -2.818162151267444, -2.9778302450032026, -5.0, -5.0, -5.0];171.96748620003927;13.372962599969469
[2.628612216000012, -2.496813464];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -3.276030641372092, -2.3805297107721763, -5.0, -4.848434083979143, -5.0];168.51899610005785;13.372962599969469
[2.6355775680000084, -2.48178019];True;[-4.0789014479970485, -5.0, -4.079634314234436, -4.130257915848685, -4.781352770597319, -4.079426367257734, -4.082332513521638, -4.950617497398624, -5.0, -5.0];168.35905019997153;13.372962599969469
[2.738661408000012, 1.0332249999999998];True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 4.589865141944218, -5.0];167.08213460003026;13.372962599969469
[2.6521946640000045, -2.48955835];True;[-5.0, -4.849846816042103, -4.999334701519514, -3.784213168649261, -5.0, -1.1246549877564327, -4.954734170973236, -4.7005154747650995, -5.0, -4.999920282352684];166.16037649998907;13.372962599969469
[2.5535606400000077, -0.8542940000000001];True;[-5.0, -5.0, -5.0, -3.9796036373231587, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];183.84198709996417;14.795857599936426
