eval_id;objectives;objectives_maxspace;cv;is_feasible;variables;evaluation_time;algorithm_time;workdir
31;[3.960225432000003, -2.4999999999978813];[-3.960225432000003, 2.4999999999978813];0.0;True;[1.5844183580285058, -4.319679063512131, 4.105247613128222, 4.5976816067638495, 0.7485858412795423, 2.7036428526935214, -0.46114714005536594, 1.2028623766662658, 3.275387894147986, 2.70675714787468];170.6984822000013;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_166760
32;[3.243253608000013, -2.499999999999173];[-3.243253608000013, 2.499999999999173];0.0;True;[1.9018956912752856, -4.140031922318555, -4.734089670071259, -0.021212831089332695, -1.206893028489977, -1.329958253850089, 0.6320680432377292, -4.10700411237751, -3.338541631793397, -0.7055862290620567];175.62754570000106;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_277708
33;[3.6528820560000064, -2.2911424];[-3.6528820560000064, 2.2911424];0.0;True;[4.531610041156576, -4.67610699710799, -1.0048618922695862, -2.5600391205465245, 4.354125680993375, 0.038455408257497936, -1.35766140458803, 3.735967293582725, 0.39056446651341936, -1.537131192853006];162.33006240000032;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_961865
34;[3.899666376000005, -2.4999999999992193];[-3.899666376000005, 2.4999999999992193];0.0;True;[3.1379041558141356, 1.3197405486770073, 4.845508844940788, 0.21463562239959266, -1.6471329907274477, -1.684140257627421, -4.143663715830112, 3.5426506545296554, 3.75125259817494, 4.0033473259812595];157.8333425000019;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_549295
35;[3.69698148, -2.499999999987658];[-3.69698148, 2.499999999987658];0.0;True;[3.4439258907002746, -0.8800652995434977, 3.5706062856437857, 0.5733062061262428, -1.614424861938458, -1.853305232689384, -4.915956787384092, 2.8993105984961423, 4.911649170778144, -2.1784885496475703];155.09094319999713;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_478098
36;[3.660060600000001, -2.4999999999378986];[-3.660060600000001, 2.4999999999378986];0.0;True;[-1.2428069789574083, -2.6377337965844125, 1.0479848462416683, 3.951757134518891, 2.180568641905511, -1.7016836765479293, 3.159453443984132, -2.2653933400055335, 3.7715907620973717, -4.016499218943851];159.65575540000282;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_274260
37;[3.5211285360000066, -2.4999999999977858];[-3.5211285360000066, 2.4999999999977858];0.0;True;[-2.0791590068970214, 4.520175069676352, 1.5361342321838931, 2.298930652426046, -3.4614268429986184, -1.9352319428174014, -3.6232218749730194, 3.4127288791313095, -0.31890525810659653, -4.534793679983801];160.85946689999764;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_218332
38;[3.7298880000000008, -2.499999999992729];[-3.7298880000000008, 2.499999999992729];0.0;True;[-2.994210461907847, 1.5461675418398713, 4.85684530095846, 2.153093920020379, -3.911977040548913, 3.6946938068069617, 0.22773430687342078, 1.0317886392584423, -2.8991777094698854, 1.7750461733484908];151.3128398000008;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_150163
39;[3.922575336000003, -2.4999999999991287];[-3.922575336000003, 2.4999999999991287];0.0;True;[0.10626901355344387, -1.1745743457883462, 1.0267131194184316, 3.3601671475372363, 1.426791854340622, -0.37666354720029904, 4.507027590867693, 3.14716688131689, 2.456428649520812, -0.07861995918766596];149.48288730000058;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_588049
40;[3.747811896, -2.495342754];[-3.747811896, 2.495342754];0.0;True;[-3.9726422074034016, 2.4923721209962792, 3.037596036957172, 4.032187987084582, 4.297995231215673, -4.786819374770449, 2.504460092334857, -2.3332432440985054, -1.283912715128702, 2.321829349224773];152.45988980000038;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_555054
41;[3.5840854080000097, -2.499999999996342];[-3.5840854080000097, 2.499999999996342];0.0;True;[1.0855238381138133, -0.3443731896458022, 3.79773523229807, 2.110470264681439, -3.103875198000817, -4.321072837280749, -4.802050006562664, 1.1761982958292911, 0.9284260997199496, 2.2028933406255558];157.5838662999995;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_400467
42;[3.8054206080000013, -2.499999999998282];[-3.8054206080000013, 2.499999999998282];0.0;True;[1.7680007197296623, -2.4200147773861467, 3.3211675617216336, -2.9846476866100247, 2.1848722966068532, 3.6262528711397355, -1.69977652109257, 1.719606917201732, -0.0644269064888725, 3.5258539089792595];152.22912259999794;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_186595
43;[3.3785728560000035, -2.1754216];[-3.3785728560000035, 2.1754216];0.0;True;[-3.369851017137199, 1.305090199819027, -1.0377364528220143, 0.8253555841253366, 2.426053066890744, -4.500557957109129, -4.076355224460374, 2.2366113568840156, -2.7003232032836855, -1.8928792662450853];160.0533507;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_290112
44;[3.2564121120000067, -1.617056];[-3.2564121120000067, 1.617056];0.0;True;[-3.531291354640188, -2.5389574418166827, -4.275522583752508, -0.7430892381635772, 0.28918286853299335, -3.359597875385841, -2.134716944801541, 0.6497108675283467, -2.325621878091144, 1.5297390675224145];156.48441750000347;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_107401
45;[3.1780620000000095, -2.4999999999968168];[-3.1780620000000095, 2.4999999999968168];0.0;True;[-4.18100129349299, 0.3330157957788291, -4.979088552744132, -3.1848927332441903, 4.7846858567146135, -0.34348108079769535, -1.962390725516061, -2.248658400299317, -4.999580418073382, -3.2861272176848058];157.5918653000008;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_8155
46;[3.5044170480000023, -2.4999999999983618];[-3.5044170480000023, 2.4999999999983618];0.0;True;[-1.923764760176263, 0.9422892439005821, 0.3734172241924707, -3.6244950777447293, -2.8725664639422366, -1.3921928373715895, 4.733620460279878, 2.9263473195030016, 0.4175666161724738, -4.538682862683753];155.86785389999932;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_707412
47;[3.273836184000012, -2.499999999993082];[-3.273836184000012, 2.499999999993082];0.0;True;[-0.9129294080157848, -1.6526081546684255, -4.666983685714627, -1.230351671859479, -1.0643538082923278, 2.188122346178261, -3.631160910116704, 3.4382284045743194, -4.131746357510711, -3.969736915480855];156.48191419999785;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_33882
48;[3.5564339520000043, -2.3462732];[-3.5564339520000043, 2.3462732];0.0;True;[1.8576509923367546, 0.4127005803986865, -4.420201093705568, 4.598099616086435, 4.996044757996783, -1.6899628739803632, -3.7503630409685105, -3.8746535220906453, -0.5462206273054573, -0.13335288334856088];156.99769829999786;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_288567
49;[3.3821720640000024, -2.499999999999588];[-3.3821720640000024, 2.499999999999588];0.0;True;[-3.803926999591244, -0.05846245342204437, 3.688351242528187, -3.7969731191836376, 2.989216652830641, 2.4533556648989654, -4.748344195856009, -2.938238643064519, -2.842585280996156, -1.560340507419924];155.12713000000076;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_584428
50;[3.7828000080000064, -1.8791240999999999];[-3.7828000080000064, 1.8791240999999999];0.0;True;[0.9699654288726611, 4.927490334464409, 2.4997725202278795, -4.164565274055818, -2.429436523112709, 4.345862196787923, 4.307481989079651, 1.5389911186217038, -0.9509384919390236, -3.1150182185775432];150.87332489999972;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_185205
51;[2.730383208000009, -1.6584203];[-2.730383208000009, 1.6584203];0.0;True;[-5.0, 0.31789787396820923, -5.0, -1.1112526443052002, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];173.21926379999786;14.797415900000487;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_689277
52;[2.5315200000000093, -2.47531935];[-2.5315200000000093, 2.47531935];0.0;True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0];161.16938760000266;14.797415900000487;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_571597
53;[2.6874633600000033, -1.7572134];[-2.6874633600000033, 1.7572134];0.0;True;[-5.0, -5.0, -5.0, -5.0, -5.0, -2.5695253543469794, -5.0, -0.210860539309488, -5.0, -5.0];160.74524819999715;14.797415900000487;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_756574
54;[2.777183712000003, -2.491822225];[-2.777183712000003, 2.491822225];0.0;True;[-5.0, -4.058292787478202, -5.0, 3.3844594129510472, -5.0, -4.403583980457957, -5.0, -5.0, -3.549234488700398, -5.0];163.96292090000134;14.797415900000487;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_708512
